"ntid","link"
"('432', '/srv/http/notes/pages/html/append_text_to_beginning_of_a_file.html')"
"('53', '/srv/http/notes/pages/html/projetos.html')"
"('446', '/srv/http/notes/pages/html/spelling_in_vim.html')"
"('447', '/srv/http/notes/pages/html/add_space_in_html.html')"
"('442', '/srv/http/notes/pages/html/how_to_represent_shell_variable_inside_a_string.html')"
"('97', '/srv/http/notes/pages/html/entering_postgresql.html')"
"('412', '/srv/http/notes/pages/html/rename_files_in_batch_with_zmv.html')"
"('127', '/srv/http/notes/pages/html/how_to_reinstall_ls-icons.html')"
"('423', '/srv/http/notes/pages/html/find_replace_text_vim.html')"
"('42', '/srv/http/notes/pages/html/write_a_timestamp_in_sqlite.html')"
"('62', '/srv/http/notes/pages/html/python_remove_character_from_string_using_translate().html')"
"('18', '/srv/http/notes/pages/html/boolean_mask_arrays.html')"
"('25', '/srv/http/notes/pages/html/grep_usage.html')"
"('450', '/srv/http/notes/pages/html/pyment.html')"
"('15', '/srv/http/notes/pages/html/see_processes_that_are_preventing_unmounting.html')"
"('22', '/srv/http/notes/pages/html/enviar_mail_de_cli.html')"
"('421', '/srv/http/notes/pages/html/edit_specific_line_in_file.html')"
"('129', '/srv/http/notes/pages/html/install_arch_manually.html')"
"('39', '/srv/http/notes/pages/html/create_a_sqlite_virtual_table.html')"
"('68', '/srv/http/notes/pages/html/how_to_remove_every_other_value_from_list.html')"
"('33', '/srv/http/notes/pages/html/how_to_read_a_file_into_a_list.html')"
"('4', '/srv/http/notes/pages/html/add_timestamp_to_command.html')"
"('439', '/srv/http/notes/pages/html/convert_date_to_unix_time.html')"
"('441', '/srv/http/notes/pages/html/how_to_redirect_standard_output_e_standard_error.html')"
"('46', '/srv/http/notes/pages/html/sqlite_full_text_searching.html')"
"('57', '/srv/http/notes/pages/html/import_a_csv_file_to_mysql.html')"
"('431', '/srv/http/notes/pages/html/insert_character_in_a_given_location_inside_a_file.html')"
"('69', '/srv/http/notes/pages/html/replace_muitple_indices_in_a_string.html')"
"('92', '/srv/http/notes/pages/html/calibre_web.html')"
"('82', '/srv/http/notes/pages/html/solve_connection_error_python_mysql.html')"
"('430', '/srv/http/notes/pages/html/create_iterator_without_repeated_values.html')"
"('413', '/srv/http/notes/pages/html/replace_string_in_a_list_of_lists.html')"
"('93', '/srv/http/notes/pages/html/keep_passwords_in_environment_variables.html')"
"('438', '/srv/http/notes/pages/html/marker_commands.html')"
"('83', '/srv/http/notes/pages/html/add_full_text_search_in_mysql.html')"
"('121', '/srv/http/notes/pages/html/how_to_know_content_of_http_header.html')"
"('120', '/srv/http/notes/pages/html/solve_remote_head_refers_to_nonexistent_ref_error.html')"
"('440', '/srv/http/notes/pages/html/replace_multiple_characters_at_once.html')"
"('5', '/srv/http/notes/pages/html/append_date_to_a_filename.html')"
"('88', '/srv/http/notes/pages/html/select_last_row_mysql.html')"
"('113', '/srv/http/notes/pages/html/python_virtual_environments.html')"
"('118', '/srv/http/notes/pages/html/php_web_server.html')"
"('119', '/srv/http/notes/pages/html/create_git_repository.html')"
"('8', '/srv/http/notes/pages/html/command_to_use_duplicity_with_backblaze.html')"
"('126', '/srv/http/notes/pages/html/remove_make_""cc1:_all_warnings_being_treated_as_errors"".html')"
"('70', '/srv/http/notes/pages/html/remove_beep_from_computer.html')"
"('424', '/srv/http/notes/pages/html/mysql_cheatsheet.html')"
"('425', '/srv/http/notes/pages/html/cmus_cheat-sheet.html')"
"('444', '/srv/http/notes/pages/html/access_current_file_in_python.html')"
"('449', '/srv/http/notes/pages/html/links_to_orms.html')"
"('63', '/srv/http/notes/pages/html/python_string_manipulation.html')"
"('50', '/srv/http/notes/pages/html/erro_""there_9_values_but_only_8"".html')"
"('452', '/srv/http/notes/pages/html/open_all_files_in_folder_in_vim.html')"
"('80', '/srv/http/notes/pages/html/how_to_turn_md_to_html.html')"
"('115', '/srv/http/notes/pages/html/see_hidden_characters_in_vim.html')"
"('54', '/srv/http/notes/pages/html/rebuilding_fts_with_sqlite-utils.html')"
"('7', '/srv/http/notes/pages/html/send_notifications_through_cron.html')"
"('3', '/srv/http/notes/pages/html/copy/paste_in_nano.html')"
"('125', '/srv/http/notes/pages/html/find_out_what_account_an_application_runs_as.html')"
"('434', '/srv/http/notes/pages/html/change_directory_in_subprocess.html')"
"('428', '/srv/http/notes/pages/html/remove_app_completely_in_arch.html')"
"('448', '/srv/http/notes/pages/html/google_docstrings_guide.html')"
"('443', '/srv/http/notes/pages/html/write_variable_to_a_file.html')"
"('78', '/srv/http/notes/pages/html/goaccess_access_logs.html')"
"('36', ""/srv/http/notes/pages/html/create_triggers_for_sqlite3_db's.html"")"
"('47', '/srv/http/notes/pages/html/aspell_micro_plugin.html')"
"('66', '/srv/http/notes/pages/html/skipping_every_other_element_after_the_first.html')"
"('35', '/srv/http/notes/pages/html/print_file_content.html')"
"('102', '/srv/http/notes/pages/html/change_color_zsh-autosuggestions.html')"
"('435', '/srv/http/notes/pages/html/ignore_flake8_error.html')"
"('131', '/srv/http/notes/pages/html/autoformat_in_vim.html')"
"('31', '/srv/http/notes/pages/html/make_output_into_columns.html')"
"('128', '/srv/http/notes/pages/html/create_a_multicolumn_layout_in_flexbox.html')"
"('436', '/srv/http/notes/pages/html/nest_3_levels_of_quotation_marks/apostrophes.html')"
"('65', '/srv/http/notes/pages/html/replacing_nth_ocurrence_of_a_substring_in_string.html')"
"('95', '/srv/http/notes/pages/html/change_default_apps_in_xdg-open.html')"
"('40', '/srv/http/notes/pages/html/how_to_use_twzer.html')"
"('98', '/srv/http/notes/pages/html/enable_keys_for_fulltext_search_mysql.html')"
"('34', '/srv/http/notes/pages/html/deleting_lines_from_a_file.html')"
"('101', '/srv/http/notes/pages/html/add_an_app_to_ufw_list.html')"
"('19', '/srv/http/notes/pages/html/send_a_email_through_mail.html')"
"('38', '/srv/http/notes/pages/html/alter_sqlite_table.html')"
"('415', '/srv/http/notes/pages/html/repeat_string_in_vim.html')"
"('124', '/srv/http/notes/pages/html/open_a_zst_file.html')"
"('122', ""/srv/http/notes/pages/html/solve_casn't_find_fulltext_index_mysql.html"")"
"('426', '/srv/http/notes/pages/html/how_to_execute_a_command_on_every_file_in_a_directory_in_python.html')"
"('133', '/srv/http/notes/pages/html/comment_chunks_of_code_in_vim.html')"
"('30', '/srv/http/notes/pages/html/edit_command_line_commands_in_editor.html')"
"('71', '/srv/http/notes/pages/html/add_line_numbers_to_output.html')"
"('59', '/srv/http/notes/pages/html/creating_a_range_of_variables_with_numbers_on_them.html')"
"('100', '/srv/http/notes/pages/html/journalctl._use_relative_time_periods.html')"
"('108', '/srv/http/notes/pages/html/update_all_pip_packages.html')"
"('123', '/srv/http/notes/pages/html/passwd_mysql_servidor.html')"
"('60', '/srv/http/notes/pages/html/dictionary_comprehensions.html')"
"('17', '/srv/http/notes/pages/html/numpy_fancy_indexing.html')"
"('12', '/srv/http/notes/pages/html/cc.html')"
"('14', '/srv/http/notes/pages/html/backblaze_keys.html')"
"('1', '/srv/http/notes/pages/html/see_inside_drives_without_mounting.html')"
"('427', '/srv/http/notes/pages/html/how_to_use_python_subprocess.html')"
"('81', '/srv/http/notes/pages/html/markdown_viewer.html')"
"('104', '/srv/http/notes/pages/html/how_to_get_environment_variables_of_running_process_linux.html')"
"('85', '/srv/http/notes/pages/html/how_to_display_images_on_same_line_in_html.html')"
"('44', '/srv/http/notes/pages/html/convert_dictionary_values_to_a_list.html')"
"('429', '/srv/http/notes/pages/html/use_a_variable_from_a_function_on_another_function.html')"
"('37', '/srv/http/notes/pages/html/create_sqlite3_table.html')"
"('96', '/srv/http/notes/pages/html/reset_ducky_keyboard.html')"
"('28', '/srv/http/notes/pages/html/create_bindkeys_in_zsh.html')"
"('91', '/srv/http/notes/pages/html/dump_a_mysql_database.html')"
"('411', '/srv/http/notes/pages/html/convert_scss_file_to_css.html')"
"('138', '/srv/http/notes/pages/html/keybind_for_php_errors.html')"
"('86', '/srv/http/notes/pages/html/mysql_generated_columns.html')"
"('51', '/srv/http/notes/pages/html/enabling_full_text_search_through_sql-utils.html')"
"('23', '/srv/http/notes/pages/html/journalctl_by_pid.html')"
"('79', '/srv/http/notes/pages/html/servers.html')"
"('75', '/srv/http/notes/pages/html/change_mysql_sql_mode.html')"
"('112', '/srv/http/notes/pages/html/using_autoexpect.html')"
"('87', '/srv/http/notes/pages/html/update_mysql_value_by_subtracting.html')"
"('111', '/srv/http/notes/pages/html/changelly.html')"
